REGION,Year,Home,Value,Year_fct
Long Island,2009,0HELTERED,1209,2009
Hudson Valley,2009,DOUBLED UP,213,2009
Hudson Valley,2009,HOTEL_MOTEL,113,2009
Hudson Valley,2009,0HELTERED,87,2009
Southern Tier,2009,DOUBLED UP,39,2009
Southern Tier,2009,HOTEL_MOTEL,11,2009
Southern Tier,2009,0HELTERED,18,2009
Southern Tier,2009,DOUBLED UP,59,2009
Southern Tier,2009,0HELTERED,54,2009
Hudson Valley,2009,DOUBLED UP,195,2009
Hudson Valley,2009,0HELTERED,184,2009
Capital,2009,DOUBLED UP,33,2009
Capital,2009,HOTEL_MOTEL,22,2009
Capital,2009,0HELTERED,8,2009
Capital,2009,DOUBLED UP,91,2009
Capital,2009,HOTEL_MOTEL,12,2009
Capital,2009,0HELTERED,9,2009
Finger Lakes,2009,DOUBLED UP,115,2009
Finger Lakes,2009,0HELTERED,29,2009
Hudson Valley,2009,DOUBLED UP,1157,2009
Hudson Valley,2009,0HELTERED,674,2009
Finger Lakes,2009,DOUBLED UP,48,2009
Finger Lakes,2009,0HELTERED,6,2009
Finger Lakes,2009,DOUBLED UP,35,2009
Capital,2021,DOUBLED UP,607,2021
Capital,2021,HOTEL_MOTEL,159,2021
Capital,2021,0HELTERED,182,2021
Capital,2021,UN0HELTERED,5,2021
Western,2021,DOUBLED UP,64,2021
Western,2021,HOTEL_MOTEL,13,2021
Western,2021,0HELTERED,7,2021
Western,2021,UN0HELTERED,5,2021
Southern Tier,2021,DOUBLED UP,430,2021
Southern Tier,2021,HOTEL_MOTEL,97,2021
Southern Tier,2021,0HELTERED,97,2021
Western,2021,DOUBLED UP,99,2021
Western,2021,HOTEL_MOTEL,10,2021
Western,2021,0HELTERED,26,2021
Central,2021,DOUBLED UP,92,2021
Central,2021,HOTEL_MOTEL,42,2021
Central,2021,0HELTERED,23,2021
Western,2021,DOUBLED UP,195,2021
Western,2021,HOTEL_MOTEL,38,2021
Western,2021,0HELTERED,49,2021
Western,2021,UN0HELTERED,8,2021
Southern Tier,2021,DOUBLED UP,97,2021
Southern Tier,2021,HOTEL_MOTEL,28,2021
Southern Tier,2021,DOUBLED UP,113,2021
Southern Tier,2021,HOTEL_MOTEL,10,2021
Southern Tier,2021,0HELTERED,6,2021
North Country,2021,DOUBLED UP,124,2021
North Country,2021,HOTEL_MOTEL,32,2021
North Country,2021,0HELTERED,23,2021
Capital,2021,DOUBLED UP,78,2021
Capital,2021,HOTEL_MOTEL,25,2021
Capital,2021,0HELTERED,15,2021
Capital,2021,UN0HELTERED,17,2021
Central,2021,DOUBLED UP,40,2021
Central,2021,HOTEL_MOTEL,11,2021
Central,2021,0HELTERED,11,2021
Southern Tier,2021,DOUBLED UP,12,2021
Southern Tier,2021,HOTEL_MOTEL,5,2021
Hudson Valley,2021,DOUBLED UP,458,2021
Hudson Valley,2021,HOTEL_MOTEL,106,2021
Hudson Valley,2021,0HELTERED,175,2021
Western,2021,DOUBLED UP,1343,2021
Western,2021,HOTEL_MOTEL,170,2021
Western,2021,0HELTERED,313,2021
North Country,2021,DOUBLED UP,16,2021
North Country,2021,DOUBLED UP,109,2021
North Country,2021,HOTEL_MOTEL,12,2021
North Country,2021,0HELTERED,20,2021
Mohawk,2021,DOUBLED UP,87,2021
Mohawk,2021,HOTEL_MOTEL,15,2021
Mohawk,2021,0HELTERED,7,2021
Finger Lakes,2021,DOUBLED UP,99,2021
Finger Lakes,2021,HOTEL_MOTEL,41,2021
Finger Lakes,2021,0HELTERED,10,2021
Capital,2021,DOUBLED UP,52,2021
Capital,2021,HOTEL_MOTEL,14,2021
Mohawk,2021,DOUBLED UP,30,2021
Mohawk,2021,HOTEL_MOTEL,7,2021
North Country,2021,DOUBLED UP,248,2021
North Country,2021,HOTEL_MOTEL,23,2021
North Country,2021,0HELTERED,33,2021
North Country,2021,DOUBLED UP,34,2021
Finger Lakes,2021,DOUBLED UP,89,2021
Finger Lakes,2021,HOTEL_MOTEL,9,2021
Finger Lakes,2021,0HELTERED,16,2021
Central,2021,DOUBLED UP,71,2021
Central,2021,0HELTERED,24,2021
Finger Lakes,2021,DOUBLED UP,1792,2021
Finger Lakes,2021,HOTEL_MOTEL,164,2021
Finger Lakes,2021,0HELTERED,342,2021
Mohawk,2021,DOUBLED UP,180,2021
Mohawk,2021,HOTEL_MOTEL,36,2021
Long Island,2021,DOUBLED UP,1650,2021
Long Island,2021,HOTEL_MOTEL,194,2021
Long Island,2021,0HELTERED,455,2021
New York City,2021,DOUBLED UP,11074,2021
New York City,2021,HOTEL_MOTEL,82,2021
New York City,2021,0HELTERED,5391,2021
New York City,2021,UN0HELTERED,1488,2021
New York City,2021,DOUBLED UP,20719,2021
New York City,2021,HOTEL_MOTEL,82,2021
New York City,2021,0HELTERED,10796,2021
New York City,2021,UN0HELTERED,1500,2021
New York City,2021,DOUBLED UP,17927,2021
New York City,2021,HOTEL_MOTEL,113,2021
New York City,2021,0HELTERED,9039,2021
