County,COUNTY,GR1,GR2,GR3,GR4,GR5,GR6,GR7,GR8,GR9,GR10,GR11,GR12,DOUBLED UP,HOTEL_MOTEL,0HELTERED,UN0HELTERED,Year
STEUBEN ,STEUBEN ,13,22,14,11,11,10,10,19,6,8,7,16,113,19,36,0,2014
SUFFOLK ,SUFFOLK ,388,393,333,353,344,327,306,328,378,382,327,404,2875,254,1681,15,2014
SULLIVAN ,SULLIVAN ,39,25,32,21,28,18,20,27,23,24,29,19,214,52,77,0,2014
TIOGA ,TIOGA ,0,6,8,0,6,5,10,7,5,5,6,0,69,0,12,0,2014
TOMPKINS ,TOMPKINS ,12,10,11,9,6,8,10,5,7,5,5,13,90,8,15,0,2014
ULSTER ,ULSTER ,54,49,35,33,35,25,45,37,49,43,31,48,279,119,138,0,2014
WARREN ,WARREN ,11,20,11,15,9,5,6,8,0,8,17,21,119,22,11,0,2014
WASHINGTON ,WASHINGTON ,24,16,11,20,13,9,11,10,20,8,21,20,176,28,0,0,2014
WAYNE ,WAYNE ,35,24,49,21,21,20,14,26,30,16,16,25,271,27,33,0,2014
WESTCHESTER ,WESTCHESTER ,203,199,177,213,186,206,164,187,264,186,173,179,1833,76,761,8,2014
WYOMING ,WYOMING ,0,0,5,5,0,0,0,0,0,0,0,7,30,0,9,0,2014
YATES ,YATES ,6,7,0,0,0,5,6,6,5,0,5,7,46,0,12,0,2014
ALBANY ,ALBANY ,74,86,70,64,64,50,54,56,82,49,49,35,449,210,173,5,2015
ALLEGANY ,ALLEGANY ,5,8,6,6,0,0,6,0,0,0,0,6,57,0,6,0,2015
BRONX ,BRONX ,3928,3984,3487,3168,2824,2636,2403,2372,2712,1969,1164,967,21405,47,15189,1868,2015
BROOME ,BROOME ,53,54,39,44,45,37,43,36,37,40,45,57,409,31,166,5,2015
CATTARAUGUS ,CATTARAUGUS ,10,10,15,13,14,9,11,16,17,0,9,25,149,0,26,0,2015
CAYUGA ,CAYUGA ,15,16,9,12,13,13,12,10,12,0,0,10,91,42,21,0,2015
CHAUTAUQUA ,CHAUTAUQUA ,20,17,18,12,18,17,13,18,23,17,18,15,161,0,73,0,2015
CHEMUNG ,CHEMUNG ,7,9,7,7,5,0,9,0,0,7,0,0,61,0,10,0,2015
CHENANGO ,CHENANGO ,11,12,14,10,13,11,10,11,10,12,11,20,133,18,26,0,2015
CLINTON ,CLINTON ,23,11,21,18,17,15,11,10,19,17,6,17,152,50,0,0,2015
COLUMBIA ,COLUMBIA ,12,11,14,12,14,8,22,6,14,11,13,17,102,25,8,36,2015
CORTLAND ,CORTLAND ,7,10,8,8,7,8,6,0,14,0,0,9,59,21,0,0,2015
DELAWARE ,DELAWARE ,0,0,5,8,10,5,7,7,8,0,5,6,46,0,24,0,2015
DUTCHESS ,DUTCHESS ,67,75,65,60,58,64,56,50,71,49,47,54,425,83,298,0,2015
ERIE ,ERIE ,290,207,206,183,176,161,190,173,214,178,149,185,2343,0,512,0,2015
ESSEX ,ESSEX ,0,0,0,0,5,0,0,0,0,0,0,0,22,0,7,0,2015
FRANKLIN ,FRANKLIN ,5,11,8,0,0,10,0,6,7,9,7,10,89,5,6,0,2015
FULTON ,FULTON ,15,11,8,12,14,7,9,6,5,8,0,7,96,0,15,0,2015
GENESEE ,GENESEE ,11,7,6,11,11,12,8,9,7,5,6,8,69,36,9,0,2015
GREENE ,GREENE ,10,17,10,6,17,9,11,9,0,10,12,9,94,29,0,0,2015
HAMILTON ,HAMILTON ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
HERKIMER ,HERKIMER ,0,0,0,0,0,6,0,0,0,0,0,0,22,0,12,0,2015
JEFFERSON ,JEFFERSON ,12,21,19,14,9,0,13,7,16,11,17,11,163,0,11,0,2015
KINGS ,KINGS ,2858,2714,2555,2182,2044,1849,1623,1577,2066,1743,1188,1123,16418,58,10519,1640,2015
LEWIS ,LEWIS ,10,6,0,8,5,6,7,8,10,0,0,0,78,0,0,0,2015
LIVINGSTON ,LIVINGSTON ,11,9,6,10,10,11,9,5,5,8,6,5,74,23,5,0,2015
MADISON ,MADISON ,11,11,7,8,10,7,6,0,0,0,0,5,64,0,16,0,2015
MONROE ,MONROE ,341,290,297,251,252,207,188,193,223,150,135,168,2515,53,601,127,2015
MONTGOMERY ,MONTGOMERY ,20,18,14,18,15,11,13,6,16,19,6,12,157,21,0,0,2015
NASSAU ,NASSAU ,352,359,267,228,235,218,218,216,302,352,247,236,3242,274,439,13,2015
NEW YORK ,NEW YORK ,1646,1510,1341,1187,1067,1011,973,958,1768,1596,1081,986,11339,47,5548,1379,2015
NIAGARA ,NIAGARA ,34,28,18,30,21,29,19,25,21,25,22,34,267,18,50,5,2015
ONEIDA ,ONEIDA ,29,32,25,19,16,23,14,9,14,11,10,11,207,0,34,0,2015
ONONDAGA ,ONONDAGA ,215,261,280,241,231,217,192,198,300,186,145,173,2160,126,580,18,2015
ONTARIO ,ONTARIO ,25,36,26,26,22,19,19,25,22,20,6,19,268,33,13,0,2015
ORANGE ,ORANGE ,141,151,128,119,118,120,137,124,152,135,93,100,1162,235,312,12,2015
ORLEANS ,ORLEANS ,5,9,5,7,10,9,9,6,8,6,5,0,71,15,13,0,2015
OSWEGO ,OSWEGO ,72,80,61,61,54,68,66,52,75,63,69,141,822,0,88,0,2015
OTSEGO ,OTSEGO ,9,12,5,0,7,0,5,6,5,0,7,9,68,6,8,0,2015
PUTNAM ,PUTNAM ,6,8,15,0,11,7,6,6,9,9,0,0,55,8,28,0,2015
QUEENS ,QUEENS ,1676,1604,1510,1414,1238,1168,1033,932,1282,1066,657,589,12451,51,3814,762,2015
RENSSELAER ,RENSSELAER ,54,59,52,56,42,46,43,49,43,41,34,36,420,0,168,0,2015
RICHMOND ,RICHMOND ,312,309,261,228,207,209,166,132,228,177,120,90,1762,9,1011,128,2015
ROCKLAND ,ROCKLAND ,36,33,47,49,56,48,49,50,92,67,56,58,572,19,100,0,2015
SARATOGA ,SARATOGA ,63,56,46,48,45,45,39,44,53,30,38,67,507,73,50,10,2015
SCHENECTADY ,SCHENECTADY ,14,14,11,10,12,16,17,8,11,8,18,10,148,11,10,0,2015
SCHOHARIE ,SCHOHARIE ,0,0,0,0,0,0,0,0,0,0,0,0,6,11,5,0,2015
SCHUYLER ,SCHUYLER ,0,0,0,0,0,0,0,0,5,0,6,0,20,0,10,0,2015
SENECA ,SENECA ,11,8,8,7,0,7,6,5,12,11,7,16,86,19,6,0,2015
ST. LAWRENCE ,ST. LAWRENCE ,31,50,45,47,44,30,38,21,31,40,35,63,502,0,44,0,2015
STEUBEN ,STEUBEN ,22,24,17,15,11,13,10,13,19,10,15,27,167,34,0,0,2015
SUFFOLK ,SUFFOLK ,387,426,406,374,370,346,348,318,398,400,345,429,3058,271,1777,18,2015
SULLIVAN ,SULLIVAN ,24,37,27,34,26,28,23,20,35,15,20,25,232,77,0,0,2015
TIOGA ,TIOGA ,7,0,0,9,0,5,0,8,9,0,5,6,72,0,6,0,2015
TOMPKINS ,TOMPKINS ,12,10,13,9,11,0,5,14,0,12,9,6,107,10,18,0,2015
ULSTER ,ULSTER ,49,38,44,35,32,31,26,45,43,36,28,45,249,0,125,0,2015
WARREN ,WARREN ,23,17,13,18,10,11,8,10,14,8,13,25,151,21,14,0,2015
WASHINGTON ,WASHINGTON ,28,29,23,21,18,19,16,13,16,17,6,15,172,53,13,7,2015
WAYNE ,WAYNE ,30,28,28,40,24,21,23,14,31,27,19,31,282,25,40,0,2015
WESTCHESTER ,WESTCHESTER ,214,212,189,205,205,185,214,166,276,204,145,186,1887,59,778,8,2015
WYOMING ,WYOMING ,5,0,9,5,0,0,0,0,0,0,0,6,38,0,0,0,2015
YATES ,YATES ,8,0,0,0,0,0,0,7,5,0,0,6,42,0,13,0,2015
ALBANY,ALBANY,88,84,93,72,74,73,57,60,88,69,59,59,494,254,225,16,2016
ALLEGANY,ALLEGANY,5,5,7,6,13,6,0,10,5,0,0,0,71,0,0,5,2016
BROOME,BROOME,49,53,55,54,40,33,47,49,40,42,46,61,426,0,189,0,2016
CATTARAUGUS,CATTARAUGUS,10,11,7,14,12,10,0,6,8,7,11,24,121,0,25,0,2016
